CARD,NUMBER OF PREVIOUS YEARS,HERO MODE,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE,SQUARE 9: AUTHOR,SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE,SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,SQUARE 18: HARD MODE,SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE,SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE OF COLLECTION,SQUARE 22: AUTHOR OF COLLECTION,SQUARE 22: HARD MODE,SQUARE 22: SUBSTITUTION,SQUARE 22A: SHORT STORY 1,SQUARE 22A: AUTHOR 1,SQUARE 22B: SHORT STORY 2,SQUARE 22B: AUTHOR 2,SQUARE 22C: SHORT STORY 3,SQUARE 22C: AUTHOR 3,SQUARE 22D: SHORT STORY 4,SQUARE 22D: AUTHOR 4,SQUARE 22E: SHORT STORY 5,SQUARE 22E: AUTHOR 5,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE,SQUARE 25: SUBSTITUTION,FAVORITE SQUARE,UNFAVORITE SQUARE
397,0,,The Color of Magic,Terry Pratchett,Yes,,Six Sacred Swords,Andrew Rowe,Yes,,A Letter to the Luminous Deep,Sylvie Cathrell,Yes,,The Palace Job,Patrick Weekes,Yes,,Fiasco,Constance Fay,Yes,,Miss Percy's Pocket Guide to the Care and Feeding of British Dragons,Quenby Olson,Yes,,A River Enchanted,Rebecca Ross,Yes,,Cursed Cocktailes,S.L. Rowland,Yes,,Broken Sky,Morgan K. Bell,Yes,,A Marvellous Light,Freya Marske,Yes,,The Doctrines of Fire,C.L. Jarvis,Yes,,Jade City,Fonda Lee,Yes,,The Good and the Green,Amy Yorke,Yes,,Hench,Natalie Zina Walschots,Yes,,Sabriel,Garth Nix,Yes,,The Flaw in All Magic,Ben S. Dobson,Yes,,A Desolation Called Peace,Arkady Martine,Yes,,The Peacekeeper,B.L. Blanchard,Yes,,The Sword of Kaigen,M.L. Wang,Yes,,Court of Winter,Krista Street,Yes,,Moonshine and Magic,Bella Falls,Yes,,The Saga Anthology of Science Fiction 2020,Jonathan Strahan,Yes,,,,,,,,,,,,The Hexologists,Josiah Bancroft,Yes,,A Natural History of Dragons,Marie Brennan,Yes,,Forged by Magic,Jenna Wolfhart,Yes,,10. Romantasy,20. Judge A Book By Its Cover
398,0,,Shadow of the Gods,John Gwynne,,,Age of Ash,Daniel Abraham,,,The Luminous Dead,Caitlin Starling,Yes,,Royal Assassin,Robin Hobb,,,Rosemary's Baby,Ira Levin,,,Six of Crows,Leigh Bardugo,,,Shadows Linger,Glen Cook,,,The Magicians' Guild,Trudi Canavan,,,Orconomics,J. Zachary Pike,,,Silver Under Nightfall,Rin Chupeco,Yes,,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",,,Necropolis,Dan Abnett,,,The Gathering,C. J. Tudor,,,All Systems Red,Martha Welles,Yes,,Hogfather,Terry Pratchett,,,Dungeon Crawler Carl,Matt Dinniman,,,Tiamat's Wrath,James S.A. Corey,,,Chain-gang All Stars,Nana Kwame Adjei-Brenyah,,,Devolution,,Yes,,Our Wives Under the Sea,Julia Armfield,Yes,,All The Sinners Bleed,S.A. Cosby,Yes,,The King in Yellow,Robert W. Chambers,Yes,,,,,,,,,,,,Meddling Kids,Edgar Cantero,,,Empire of the Vampire,Jay Kristoff,Yes,,Altered Carbon,Richard K. Morgan,,,24. Reference Materials,10. Romantasy
399,0,,Triplanetary,"E.E. ""Doc"" Smith",Yes,,The Haunting of Hill House,Shirley Jackson,Yes,,The Coming Race,Edgar Bulwer-Lytton,Yes,,Catchpenny,Charlie Huston,Yes,,An Inheritance of Magic,Benedict Jacka,Yes,,Tekla,Steven Brust,Yes,,Play of Shadows,Sebastien de Castell,Yes,,Declare,Tim Powers,Yes,,Have Glyphs Will Travel,Edward Erdelac,Yes,,Legends and Lattes: A Novel of High Fantasy and Low Stakes,Travis Baldree,Yes,,Ninth House,Leigh Bardugo,Yes,,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,,Mushroom Blues,Adrian Gibson,Yes,,The Vor Game,Lois McMaster Bujold,Yes,,Synners,Pat Cadigan,Yes,,Ghazghkull Thraka:  Prophet of the Waaagh!,Nate Crowley,Yes,,Translation State,Ann Leckie,Yes,,Shigidi and the Brass Head of Obalufon,Wole Talabi,Yes,,All You Need is Kill,Hiroshi Sakurazaka,Yes,,Plunder,Ron Goulart,Yes,,Summer Fishing in Lapland,Juhani Karila,Yes,,The Dangers of Smoking in Bed,Mariana Enríquez,Yes,,,,,,,,,,,,The Worm and His Kings,Hailey Piper,Yes,,The Sword of the Lictor,Gene Wolfe,Yes,,Someone to Build a Nest In,John Wiswell,,,20. Judge A Book By Its Cover,10. Romantasy
400,8,,First Test,Tamora Pierce,,,SIlver Silence,Nalini Singh,,,,,,,,,,,A Sorceress Comes to Call,T. Kingfisher,,,Starling House,Alix E. Harrow,,,The Harp of Kinds,Juliet Marillier,,,,,,,,,,,Dragon Bound,Thea Harrison,,,,,,,,,,,Bride,Ali Hazelwood,,,,,,,,,,,,,,,,,,,,,,,Fourth Wing,Rebecca Yarros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Spell Shop,Sarah Beth Durst,,,10. Romantasy,
401,0,,Spark of the Everflame,Penn Cole,Yes,,To Sleep in a Sea of Stars,Christopher Paolini,Yes,,Letter to the Luminous Deep,Sylvie Cathrall,Yes,,Six of Crows,Leigh Bardugo,Yes,,Parable of the Sower,Octavia E. Butler,Yes,,A Natural History of Dragons,Marie Brennan,Yes,,The Part About the Dragon was Mostly True,Sean Gibson,Yes,,The Cruel Prince,Holly Black,Yes,,Ishimin,Inghild Okland,Yes,,Tress of the Emerald Sea,Brandon Sanderson,Yes,Novel with a Color in the Title SFF 2020,A Study in Drowning,Ava Reid,Yes,,The Man in the High Castle,Philip K. Dick,Yes,,Zero Stars Do Not Recommend,MJ Wassmer,Yes,,The Bird and the Sword,Amy Harmon,Yes,,Outlander,Diana Gabaldon,Yes,,Forged by Magic,Jenna Wolfhart,Yes,,All Systems Red,Martha Wells,Yes,,The Deep Sky,Yume Kitasei,Yes,,The Architect of Grayland,Evelyn Arvey,Yes,,For the Wolf,Hannah F. Whitten,Yes,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Yes,,From a Certain Point of View,Renée Ahdieh,Yes,,,,,,,,,,,,An Inheritance of Ashes,Leah Bobet,Yes,,The Will of the Many,James Islington,Yes,,The Spear Cuts Through Water,Simon Jimenez,Yes,,19. Survival,"16. Orcs, Trolls, and Goblins — Oh My!"
402,0,,The Invisible Library,Genevieve Cogman,Yes,,How to Sell a Haunted House,Grady Hendrix,Yes,,Thought Records of Lemuria/Cult of The Witch Queen,Richard S. Shaver,Yes,,Taltos,Steven Brust,Yes,,Titanium Noir,Nick Harkaway,Yes,,The Digging Leviathan,James Blaylock,Yes,,The Old Gods Awaken,Manly Wade Wellman,Yes,,Firewalk,Chris Roberson,Yes,,The Extractionist,Kimberly Unger,Yes,,AITA?,Cassie Alexander,Yes,,Authority,Jeff VanderMeer,Yes,,Sin in Space,Cyril Judd,Yes,,The Cautious Traveller’s Guide to the Wastelands,Sarah Brooks,Yes,,Cetaganda,Lois McMaster-Bujold,Yes,,The Also People,Ben Aaronovitch,Yes,,Grendel,John Gardner,Yes,,Downbelow Station,C.J. Cherryh,Yes,,Jackal,Erin E. Adams,Yes,,The Quiet Room,Terry Miles,Yes,,West of Honor,Jerry Pournelle,Yes,,Pet Sematary,Stephen King,Yes,,The Star Diaries,Stanislav Lem,Yes,,,,,,,,,,,,Dig Two Graves,Craig Schaefer,Yes,,A Fire Upon the Deep,Vernor Vinge,Yes,,Murder at Spindle Manor,Morgan Stang,,,20. Judge A Book By Its Cover,10. Romantasy
403,2,,InuYasha Vol. 1: Turning Back Time,Rumiko Takahashi,Yes,,Ollie's Odyssey,William Joyce,,,At the Earth's Core,Edgar Rice Burroughs,Yes,,Starter Villain,John Scalzi,,,Batman: Nightwalker,Marie Lu,Yes,,The Phoenix Keeper,S. A. MacLean,Yes,,The Naming,Alison Croggon,Yes,,The Maleficent Seven,Cameron Johnston,Yes,,Lady of Locksley,Aron Lewes,Yes,,The Honey Witch,Sydney J. Shields,Yes,,Babel,R.F. Kuang,,,Heir,Sabaa Tahir,Yes,,Accidental Demons,Claire Edge,Yes,,Fullmetal Alchemist: The Land of Sand,Makoto Inoue,Yes,,The Sword of Bedwyr,R.A. Salvatore,Yes,,The Grey Bastards,Jonathan French,Yes,,Splinter of the Mind's Eye,Alan Dean Foster,,,To Shape a Dragon's Breath,Moniquill Blackgoose,Yes,,Godzilla and Godzilla Raids Again,Shigeru Kayama,Yes,,My Best Friend's Exorcism,Grady Hendrix,Yes,,Boy's Life,Robert R. McCammon,Yes,,,,,,One by One,Lindz McLeod,Out of All of Them,Nelson Stanley,The Last Word,Oluwatomiwa Ajeigbe,With Her Serpent Locksley,Mary Robinette Kowal,Late Autumn on the Pilgrim's High Road,Samuel Jensen,The Willows,Algernon Blackwood,Yes,,The Fall of Gondolin,J.R.R. Tolkien,Yes,,The Beast Player,Nahoko Uehashi,,,20. Judge A Book By Its Cover,5. Dreams
404,3,,Beyond the Deepwoods,"Paul Stewart, Chris Riddell",Yes,,The Starless Sea,Erin Morgenstern,,,The Mountain in the Sea,Ray Nayler,,,Book of Night,Holly Black,,,The Road,Cormac McCarthy,Yes,,The Book of Chameleons,José Eduardo Agualusa,,,A Fire Endless,Rebecca Ross,Yes,,Gideon the Ninth,Tamsyn Muir,Yes,,Odyssey,Stephen Fry,,Myths and Retellings 2023,Iron Flame,Rebecca Yarros,,,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",,,Wind and Truth,Brandon Sanderson,Yes,,Emily Wilde's Map of the Otherlands,Heather Fawcett,,,Before They Are Hanged,Joe Abercrombie,Yes,,Jurassic Park,Michael Crichton,,,Dungeon Crawler Carl,Matt Dinniman,,,Children of Time,Adrian Tchaikovsky,,,The Three-Body Problem,Cixin Liu,,,Station Eleven,Emily St. John Mandel,,,The Blacktongue Thief,Christopher Buehlman,Yes,,Bookshops & Bonedust,Travis Baldree,,,Stories of Your Life and Others,Ted Chiang,Yes,,,,,,,,,,,,What Moves the Dead,T. Kingfisher,Yes,,Kushiel's Dart,Jacqueline Carey,Yes,,All Systems Red,Martha Wells,,,3. Under the Surface,9. Self-Published or Indie Publisher
405,4,,The Will of the Many,James Islington,,,Murder at Spindle Manor,Morgan Stang,,,Digger: The Complete Omnibus,Ursula Vernon,,,The Knight,Will Wight,,,The Blacktongue Thief,Christopher Buehlman,,,Beware of Chicken,CasualFarmer,,,The Return of Fitzroy Angursell,Victoria Goddard,Yes,,The Art of Prophecy,Wesley Chu,,,The Abjurer,Tobias Begley,,,A Rival Most Vial: Potioneering for Love and Profit,R.K. Ashwick,,,Collège noir,Ulysse Malassagne,,,Fleet Champions,Rob J. Hayes,,,Wind and Truth,Brandon Sanderson,,,Flowers for Algernon,Daniel Keyes,Yes,,Hogfather,Terry Pratchett,,,The Unspoken Name,A.K. Larkwood,Yes,,Leviathan Wakes,James S.A. Corey,,,Deathseed,Sarah Lin,,,The Wrack,John Bierce,,,I Ran Away to Evil,Mystic Neptune,,,Heretical Fishing,Haylock Jobson,,,khōréō Magazine 4,,Yes,,,,,,,,,,,,The Tainted Cup,Robert Jackson Bennett,Yes,,How to Become the Dark Lord and Die Trying,Django Wexler,,,Project Hail Mary,Andy Weir,,,2. Alliterative Title,5. Dreams
406,1,,The. Blighted Stars,Megan E. O'Keefe,,,Blood Over Bright Haven,M.L. Wang,,,Red Rising,Pierce Brown,Yes,,Murder at Spindle Manor,Morgan Stang,,,A Court of Mistand Fury,Sarah J. Maas,Yes,,The Kaiju Preservation Society,,Yes,,The Curse of the Mistwraith,Janny Wurts,,,The Atlas Six,Olivie Blake,Yes,,Dungeon Crawler Carl,Matt Dunning,,,Fourth Wing,Rebecca Yarros,,,Hell Bent,Leigh Bardugo,Yes,,Words of Radiance,Brandon Sanderson,Yes,,The Mercy of Gods,James S.A. Corey,,,Shards of Earth,Adrian Tchaikovsky,,,To Say Nothing of the Dog,Connie Willis,Yes,,The Daughters’ War,Christopher Buehlm,,,A Closed and Common Orbit,Becky Chambers,,,Iron Widow,Xiran Jay Zhao,Yes,,Wool,High Howley,Yes,,Red Queen,Victoria Aveyard,,,The Hollow Places,T. Kingfisher,,,C. Robert Cargill,Day Zero,Yes,2023 - featuring Robots,,,,,,,,,,,Gunmetal Gods,Zamia Akhtar,,,Empire of the Damned,Jay Kristol,Yes,,In the Ruins,Kate Elliott,,,17. Space Opera,22. Five SFF Short Stories
407,4,,A Court This Cruel and Lovely,Stacia Stark,Yes,,Princess Floralinda and the Forty-Flight Tower,Tamsyn Muir,Yes,,The Veiled Kingdom,Holly Renee,Yes,,Among Thieves Thieves,M.J. Kuhn,Yes,,Slaying the Shadow Prince,Helen Scheuerer,Yes,,Miss Percy's Pocket Guide to the Care and Feeding of British Dragons,Quenby Olson,Yes,,Bloody Rose,Nicholas Eames,Yes,,The Hero of Ages,Brandon Sanderson,Yes,,The Amulet's Embrace,Sorcha Everhart,Yes,,The Honey Witch,Sydney J. Shields,Yes,,A Study In Drowning,Ava Reid,Yes,,Valor,John Gwynne,Yes,,My Darling Dreadful Thing,Johanna van Veen,Yes,,Into the Drowning Deep,Mira Grant,Yes,,Good Omens,"Neil Gaiman, Terry Pratchett",Yes,,The Widow and the Orcs,Finley Fenn,Yes,,These Burning Stars,Bethany Jacobs,Yes,,Forged by Blood,Ehigbor Okosun,Yes,,The Martian,Andy Weir,Yes,,Hell For Hire,Rachel Aaron,Yes,,Lone Women,Victor LaValle,Yes,,Things We Lost in the Fire,Mariana Enríquez,Yes,,,,,,,,,,,,Someone You Can Build a Nest In,John Wiswell,Yes,,The Liar's Knot,M.A. Carrick,Yes,,Air Awakens,Elise Kova,Yes,Elemental Magic 2023,20. Judge A Book By Its Cover,22. Five SFF Short Stories
408,1,Yes,The Fifth Season,N.K. Jemisin,,,A Dark and Drowning Tide,Allison Saft,,,Into the Drowning Deep,Mira Grant,Yes,,A Tempest of Tea,Hafsah Faizal,Yes,,City of Nightmares,Rebecca Schaeffer,,,For the Wolf,Hannah F. Whitten,,,"Song of Silver, Flame like Night",Amélie Wen Zhao,,,The Book of Gothel,Mary McMyne,Yes,,Slaying The Shadow Prince,Helen Scheuerer,,,Evocation,S.T. Gibson,Yes,,Hell Bent,Leigh Bardugo,Yes,,Elantris,Brandon Sanderson,,,The Crimson Moth,Kristen Ciccarelli,,,Godkiller,Hannah Kaner,Yes,,I have never known men,Jacqueline Harpman,,,Legends & Lattes,Travis Baldree,Yes,,A Desolation Called Peace,Arkady Martine,Yes,,Faebound,Saara El-Arifi,,,Vicious,V.E. Schwab,Yes,,Daughter of the Moon Goddess,Sue Lynn Tan,Yes,,The Honey Witch,Sydney J. Shields,,,Her Body and Other Parties,Carmen Maria Machado,,,,,,,,,,,,,To Cage a God,Elizabeth May,Yes,,The Sword of Kaigen,M.L. Wang,Yes,,The Ten Thousand Doors of January,Alix E. Harrow,,,3. Under the Surface,7. Bards
409,3,,Annihilation,Jeff VanderMeer,Yes,,The Adventures of Amina al-Sirafi,S.A. Chakraborty,Yes,,This Inevitable Ruin,Matt Dinniman,Yes,,Too Like the Lightning,Ada Palmer,Yes,,Floating Hotel,Grace Curtis,Yes,,To Shape a Dragon's Breath,Moniquill Blackgoose,Yes,,Memories of Ice,Steven Erikson,Yes,Cat Squasher 2021 - HM: Lion Squasher,Wind and Truth,Brandon Sanderson,Yes,,Kalyna the Cutthroat,Elijah Kinch Spector,Yes,,Running Close to the Wind,Alexandra Rowland,Yes,,Assassin of Reality,"Marina Dyachenko, Sergey Dyachenko",Yes,,House of Open Wounds,Adrian Tchaikovsky,Yes,,Someone You Can Build a Nest In,John Wiswell,Yes,,The Mercy of Gods,James S.A. Corey,Yes,,Barrayar,Lois McMaster Bujold,Yes,,Into the Narrowdark,Tad Williams,Yes,,Ancillary Mercy,Ann Leckie,Yes,,The Scarlet Throne,Amy Leow,Yes,,The Daughters' War,Christopher Buehlman,Yes,,The Teller of Small Fortunes,Julie Leong,Yes,,Starling House,Alix E. Harrow,Yes,,Threshold: Stories from Cradle,Will Wight,Yes,,,,,,,,,,,,Ashes of Man,Christopher Ruocchio,Yes,,The Last Mortal Bond,Brian Staveley,Yes,,The Tainted Cup,Robert Jackson Bennett,Yes,,13. Published in 2024,22. Five SFF Short Stories
410,1,,A Game of Thrones,George R.R. Martin,Yes,,Legends & Lattes,Travis Baldree,,,Neverwhere,Neil Gaiman,Yes,,The Invisible Life of Addie LaRue,V.E. Schwab,,,The Death of King Arthur,"Unknown, tr. James Cable",,,Where Wolf,Roy Saucedo,,,Dragonsong,Anne McCaffrey,,,Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,,,Sterling Karat Gold,Isabel Waidner,,,Human Enough,E.S. Yu,,,Bunny,Mona Awad,Yes,,Crooked Plow,Itamar Viera Junior,,,Ava Anna Ada,Ali Millar,Yes,,Crash,J.G. Ballard,,,The Eye of the World,Robert Jordan,,,Unseen Academicals,Terry Pratchett,Yes,,Dune,Frank Herbert,,,Not a River,Selva Almada,,,A Deadly Education,Naomi Novik,,,Howl's Moving Castle,Diana Wynne Jones,,,Joyland,Stephen King,,,,,,,How the Marquis Got His Coat Back,Neil Gaiman,The Garden of Forking Paths,Jorge Luis Borges,Pages to Fill,Travis Baldree,The Blind Geometer,Kim Stanley Robinson,The Overcoat,Nikolai Gogol,The Kraken,China Miéville,Yes,,The Two Towers,J.R.R. Tolkien,Yes,,A Wizard of Earthsea,Ursula K. Le Guin,,,9. Self-Published or Indie Publisher,10. Romantasy
411,5,,Space Academy Dropouts,CT Phipps,,,Stealing Sorcery,Andrew Rowe,,,The Dungeon Anarchist's Cookbook,Matt Dinniman,,,The Liar's Knot,M.A. Carrick,,,Rising Storm,Erin Hunter,,,Miss Percy's Pocket Guide to the Care & Feeding of British Dragons,Quenby Olson,,,Space Oddity,Catherynne M. Valente,,,Scourged,Kevin Hearne,,,Deadley Assessments,Drew Hayes,,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,,,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",,,Fire and Song,Bryce O'Connor,,,The Book That Broke the World,Mark Lawrence,,,Iron Widow,Xiran Jay Zhao,,,Feet of Clay,Terry Pratchett,,,Dragonfired,J. Zachary Pike,,,Aftermath,Craig Alanson,,,The Bone Shard Emperor,Andrea Stewart,,,Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,,,On Lavender Tides,Travis M. Riddle,,,Starling House,Alix E. Harrow,,,Arcanum Unbounded,Brandon Sanderson,,,,,,,,,,,,,Atrocity Archives,Charles Stross,,,Can't Spell Treason Without Tea,Rebecca Thorne,,,Translation State,Ann Leckie,,,20. Judge A Book By Its Cover,19. Survival
412,1,,All Systems Red,Martha Wells,Yes,,The Haunting of Hill House,Shirley Jackson,Yes,,Wool,Hugh Howey,Yes,,The Crown Tower,Michael J. Sullivan,Yes,,The Killing Moon,N.K. Jemisin,,,The last Unicorn,Peter S. Beagle,Yes,,A River Enchanted,Rebecca Ross,Yes,,The Eye of the Bedlam Bride: Dungeon Crawler Carl Book 6,Matt Dinniman,Yes,,Soulsmith,Will Wight,,,Quicksilver,Callie Hart,,,Ninth House,Leigh Bardugo,Yes,,The Bone Shard Daughter,Andrea Stewart,Yes,,The Tainted Cup,Robert Jackson Bennett,,,The Blade Itself,Joe Abercrombie,Yes,,The Lions of Al-Rassan,Guy Gavriel Kay,Yes,,Orconomics,J. Zachary Pike,Yes,,The Blighted Stars,Megan E. O'Keefe,Yes,,Chain-Gang All Stars,Nana Kwame Adjei-Brenyah,Yes,,Moon of the Crusted Snow,Waubgeshig Rice,Yes,,The Spear Cuts Through Water,Simon Jimenez,,,Salem's Lot,Stephen King,Yes,,Things We Lost in the Fire,Mariana Enríquez,Yes,,,,,,,,,,,,The Fisherman,John Langan,Yes,,The Sword of Kaigen,M.L. Wang,Yes,,The Adventures of Amina al-Sirafi,S.A. Chakraborty,,,20. Judge A Book By Its Cover,"16. Orcs, Trolls, and Goblins — Oh My!"
413,4,,Penric's Demon,Lois McMaster Bujold,Yes,,Princess Floralinda and the Forty-Flight Tower,Tamsyn Muir,Yes,,A Face of Glass,Frances Hardinge,Yes,,Silverblood Promies,James Logan,Yes,,The Brides of High Hill,Ng Vho,Yes,,The Last Unicorn,Christopher Beagle,Yes,,The Lark and the Wren,Mercedes Lackey,Yes,,Greywaren,Maggie Stiefvater,Yes,,Cubafruit,Alexander Sorondo,Yes,,The Captive Prince,C.S. Pacat,Yes,,The Cloisters,Katy Hays,Yes,,Devices and Desires,K.J. Parker,Yes,,Voyage of the Damned,Frances White,Yes,,The Bedlam Stacks,Natasha Pulley,Yes,,Death of the Necromancer,Martha Wells,Yes,,Bookshops & Bonedust,Travis Baldree,Yes,,A Memory Called Empire,Arkady Martine,Yes,,The Saint of Bright Doors,Vajra Chandrasekera,,,Trials of Empire,Richard Swan,Yes,,Daughter of Redwinter,Ed. McDonald,Yes,,Stepford Wives,Ira Levin,Yes,,"White Cat, Black Dog",Kelly Link,Yes,,,,,,,,,,,,Revelator,Daryl Gregory,Yes,,The Blacktongue Thief,Christopher Buehlman,Yes,,The Jasmine Throne,Tasha Suri,Yes,Set in Asia,8. Prologues and Epilogues,25. Book Club or Readalong Book
414,0,,Legendborn,Tracy Deonn,,,Oona Out of Order,Margarita Montimore,Yes,,A Face Like Glass,Frances Hardinge,Yes,,Queen of Shadows,Sarah J. Maas,,,The Crane Husband,Kelly Barnhill,Yes,,Deerskin,Robin McKinley,,,The Warm Hands of Ghosts,Katherine Arden,,,The Last Tale of the Flower Bride,Roshani Chokshi,Yes,,The Dark Tide,Alicia Jasinska,,,Outlander,Diana Gabaldon,,,Vicious,V.E. Schwab,Yes,,Weyward,Emilia Hart,,,When Among Crows,Veronica Roth,,,The Maid and the Crocodile,Jordan Ifueko,Yes,,Sabriel,Garth Nix,Yes,,A Market of Dreams and Destiny,Trip Galey,,,Thorn,Intisar Khanani,,Myths and Retellings 2023,The Conductors,Nicole Glover,Yes,,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Yes,,Spice Road,Maiya Ibrahim,Yes,,The Fairy Bargains of Prospect Hill,Rowenna Miller,Yes,,"White Cat, Black Dog",Kelly Link,Yes,,,,,,,,,,,,Pet,Akwaeke Emezi,Yes,,The London Séance Society,Sarah Penner,,,The Spirit Bares Its Teeth,Andrew Joseph White,,,3. Under the Surface,17. Space Opera
415,0,Yes,The City in Glass,Nghi Vo,Yes,Angels & Demons 2023,The Adventures of Amina al-Sirafi,S.A. Chakraborty,Yes,,A Letter to the Luminous Deep,Sylvie Cathrall,Yes,,Running Close to the Wind,Alexandra Rowland,Yes,,All the Hidden Paths,Alexandra Rowland,Yes,,The Tomb of Dragons,Katherine Addison,Yes,,Sing the Four Quarters,Tanya Huff,Yes,,A Day of Fallen Night,Samantha Shannon,Yes,,The Midnight Bargain,C.L. Polk,Yes,,Swordcrossed,Freya Markse,Yes,,Lessons in Magic and Disaster,Charlie Jane Anders,Yes,,Wind and Truth,Brandon Sanderson,Yes,,Voyage of the Damned,Frances White,Yes,,Lords of Uncreation,Adrian Tchaikovsky,Yes,,The Element of Fire,Martha White,Yes,,Comet in Moominland,Tove Jansson,Yes,,Space Oddity,Catherynne M. Valente,Yes,,The Saint of Bright Doors,Vajra Chandrasekera,Yes,,The Girl and the Stars,Mark Lawrence,Yes,,The Warden,Daniel M. Ford,Yes,,Shades of Grey,Jasper Fforde,Yes,,The Best American Science Fiction and Fantasy 2024,Hugh Howey,Yes,,,,,,,,,,,,The West Passage,Jared Pechaček,Yes,,The Cautious Traveller's Guide to the Wastelands,Sarah Brooks,Yes,,Metal From Heaven,August Clarke,Yes,,14. Character with a Disability,22. Five SFF Short Stories
